,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3,Frequency_4,Amplitude_4,Phase_4,Frequency_5,Amplitude_5,Phase_5,Frequency_6,Amplitude_6,Phase_6,Frequency_7,Amplitude_7,Phase_7,Frequency_8,Amplitude_8,Phase_8,Frequency_9,Amplitude_9,Phase_9,Frequency_10,Amplitude_10,Phase_10,Frequency_11,Amplitude_11,Phase_11
0,11500000000.0,-5.199370175E+01,7.666040615E+01,11520000000.0,-4.782781079E+01,-1.606245835E+02,11540000000.0,-4.639761882E+01,-4.355329620E+01,11560000000.0,-4.822224194E+01,9.275768599E+01,11580000000.0,-4.793894798E+01,-1.459837028E+02,11600000000.0,-4.830014577E+01,-2.437406445E+01,11620000000.0,-4.832322076E+01,9.813737346E+01,11640000000.0,-4.955754178E+01,-1.622630946E+02,11660000000.0,-5.134309928E+01,-2.812123380E+01,11680000000.0,-5.007484017E+01,9.666220386E+01,11700000000.0,"-5.215306957E+01
","-1.338529538E+02
"
1,11500000000.0,-4.955572205E+01,6.241068608E+01,11520000000.0,-4.727033661E+01,-1.607046408E+02,11540000000.0,-4.717154672E+01,-3.214089381E+01,11560000000.0,-4.662897992E+01,8.764420739E+01,11580000000.0,-4.668682942E+01,-1.504811272E+02,11600000000.0,-4.607905553E+01,-2.991742592E+01,11620000000.0,-4.725547447E+01,8.961344082E+01,11640000000.0,-4.668517837E+01,-1.523074349E+02,11660000000.0,-4.729955883E+01,-3.881205916E+01,11680000000.0,-4.844302217E+01,9.241968127E+01,11700000000.0,"-4.711385760E+01
","-1.301647882E+02
"
2,11500000000.0,-4.539278815E+01,7.493949242E+01,11520000000.0,-4.461189763E+01,-1.610450377E+02,11540000000.0,-4.286079965E+01,-4.491240219E+01,11560000000.0,-4.262460441E+01,8.515722110E+01,11580000000.0,-4.238887955E+01,-1.486941820E+02,11600000000.0,-4.199834736E+01,-2.636540624E+01,11620000000.0,-4.343736446E+01,8.401929907E+01,11640000000.0,-4.421116150E+01,-1.532798810E+02,11660000000.0,-4.445079775E+01,-2.895354103E+01,11680000000.0,-4.441671348E+01,9.836736967E+01,11700000000.0,"-4.469299786E+01
","-1.369595263E+02
"
3,11500000000.0,-4.515003141E+01,7.607290950E+01,11520000000.0,-4.336159355E+01,-1.595550513E+02,11540000000.0,-4.289598475E+01,-3.430546943E+01,11560000000.0,-4.237158307E+01,8.483964740E+01,11580000000.0,-4.208705056E+01,-1.513034425E+02,11600000000.0,-4.198791574E+01,-3.159450009E+01,11620000000.0,-4.227145874E+01,8.717560258E+01,11640000000.0,-4.248852786E+01,-1.562778680E+02,11660000000.0,-4.462499656E+01,-2.789312429E+01,11680000000.0,-4.378605742E+01,9.605901284E+01,11700000000.0,"-4.263315849E+01
","-1.405504984E+02
"
4,11500000000.0,-4.962874865E+01,6.251718244E+01,11520000000.0,-4.649580658E+01,-1.659339922E+02,11540000000.0,-4.487856920E+01,-4.936690677E+01,11560000000.0,-4.485785462E+01,7.493590951E+01,11580000000.0,-4.511986867E+01,-1.573875666E+02,11600000000.0,-4.565566426E+01,-4.052317831E+01,11620000000.0,-4.695433407E+01,7.890599310E+01,11640000000.0,-4.649587148E+01,-1.582292576E+02,11660000000.0,-4.814276083E+01,-2.892825154E+01,11680000000.0,-4.650634003E+01,9.188739681E+01,11700000000.0,"-4.749471458E+01
","-1.430473941E+02
"
5,11500000000.0,-4.895033881E+01,5.579031983E+01,11520000000.0,-4.717649038E+01,-1.747842790E+02,11540000000.0,-4.642826174E+01,-5.278069335E+01,11560000000.0,-4.587435575E+01,6.690993032E+01,11580000000.0,-4.551207187E+01,-1.662571445E+02,11600000000.0,-4.553626352E+01,-5.227920200E+01,11620000000.0,-4.653539555E+01,6.402468294E+01,11640000000.0,-4.683357558E+01,1.795545399E+02,11660000000.0,-4.755330589E+01,-4.637558798E+01,11680000000.0,-4.672366506E+01,7.534282093E+01,11700000000.0,"-4.628920504E+01
","-1.619405450E+02
"
6,11500000000.0,-4.782789804E+01,7.756345983E+01,11520000000.0,-4.641322374E+01,-1.572019207E+02,11540000000.0,-4.583286832E+01,-3.599321001E+01,11560000000.0,-4.481923473E+01,8.254232467E+01,11580000000.0,-4.498239160E+01,-1.532821124E+02,11600000000.0,-4.408112731E+01,-2.934439736E+01,11620000000.0,-4.477761802E+01,8.642835965E+01,11640000000.0,-4.590177394E+01,-1.474609133E+02,11660000000.0,-4.613022690E+01,-2.410654553E+01,11680000000.0,-4.634755715E+01,9.821150024E+01,11700000000.0,"-4.635205057E+01
","-1.345482521E+02
"
7,11500000000.0,-4.912155536E+01,7.095715330E+01,11520000000.0,-4.891571796E+01,-1.556542258E+02,11540000000.0,-4.849202588E+01,-4.960293984E+01,11560000000.0,-4.827586190E+01,7.589598561E+01,11580000000.0,-4.779340808E+01,-1.655938440E+02,11600000000.0,-4.674920804E+01,-4.105139398E+01,11620000000.0,-4.774823695E+01,8.229565212E+01,11640000000.0,-4.817092746E+01,-1.622801561E+02,11660000000.0,-4.870341430E+01,-3.380783950E+01,11680000000.0,-4.984311503E+01,7.522975759E+01,11700000000.0,"-4.818537035E+01
","-1.436865375E+02
"
8,11500000000.0,-5.238084405E+01,6.115666592E+01,11520000000.0,-5.001099501E+01,-1.567628571E+02,11540000000.0,-4.900613824E+01,-6.836904045E+01,11560000000.0,-4.738334500E+01,6.642326596E+01,11580000000.0,-4.912423990E+01,1.785060951E+02,11600000000.0,-4.721665905E+01,-5.566195833E+01,11620000000.0,-4.894428593E+01,6.240476900E+01,11640000000.0,-4.940965503E+01,-1.798980537E+02,11660000000.0,-5.130616532E+01,-4.646187146E+01,11680000000.0,-5.125205424E+01,7.879195137E+01,11700000000.0,"-4.855750454E+01
","-1.564106907E+02
"
9,11500000000.0,-5.014347363E+01,7.253479248E+01,11520000000.0,-4.939059143E+01,-1.587428689E+02,11540000000.0,-4.672087576E+01,-4.800475781E+01,11560000000.0,-4.767524399E+01,7.481761751E+01,11580000000.0,-4.726864387E+01,-1.558965538E+02,11600000000.0,-4.827139092E+01,-3.601189005E+01,11620000000.0,-4.889705821E+01,8.260797668E+01,11640000000.0,-4.848138191E+01,-1.629138897E+02,11660000000.0,-4.997419019E+01,-4.869886183E+01,11680000000.0,-4.839669250E+01,1.038759173E+02,11700000000.0,"-5.069301792E+01
","-1.526582234E+02
"
