,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3,Frequency_4,Amplitude_4,Phase_4,Frequency_5,Amplitude_5,Phase_5,Frequency_6,Amplitude_6,Phase_6,Frequency_7,Amplitude_7,Phase_7,Frequency_8,Amplitude_8,Phase_8,Frequency_9,Amplitude_9,Phase_9,Frequency_10,Amplitude_10,Phase_10,Frequency_11,Amplitude_11,Phase_11
0,11500000000.0,-4.992640320E+01,8.032005364E+01,11520000000.0,-4.827815681E+01,-1.476134376E+02,11540000000.0,-4.835979544E+01,-4.338353821E+01,11560000000.0,-4.843286142E+01,7.696314753E+01,11580000000.0,-4.864245661E+01,-1.563774983E+02,11600000000.0,-4.712163084E+01,-3.057063491E+01,11620000000.0,-4.748078728E+01,9.070546504E+01,11640000000.0,-4.911475727E+01,-1.397657996E+02,11660000000.0,-4.976013299E+01,-4.528645222E+01,11680000000.0,-5.025816626E+01,1.014095112E+02,11700000000.0,"-4.835561400E+01
","-1.400916173E+02
"
1,11500000000.0,-4.965577109E+01,7.625472417E+01,11520000000.0,-4.823130772E+01,-1.704749274E+02,11540000000.0,-4.543217168E+01,-3.171380010E+01,11560000000.0,-4.635958452E+01,8.408044384E+01,11580000000.0,-4.608835318E+01,-1.462604148E+02,11600000000.0,-4.780966736E+01,-2.631093238E+01,11620000000.0,-4.543954991E+01,8.461301696E+01,11640000000.0,-4.603258315E+01,-1.508620664E+02,11660000000.0,-4.749947223E+01,-2.776132608E+01,11680000000.0,-4.760927891E+01,1.023183361E+02,11700000000.0,"-4.954862070E+01
","-1.340695719E+02
"
2,11500000000.0,-4.565596223E+01,7.129591076E+01,11520000000.0,-4.438966223E+01,-1.671374894E+02,11540000000.0,-4.248348915E+01,-4.482318062E+01,11560000000.0,-4.248726002E+01,8.099485919E+01,11580000000.0,-4.303824561E+01,-1.547785410E+02,11600000000.0,-4.219183907E+01,-3.354819248E+01,11620000000.0,-4.304958836E+01,8.494870266E+01,11640000000.0,-4.420680801E+01,-1.564551490E+02,11660000000.0,-4.540032288E+01,-2.579638577E+01,11680000000.0,-4.549031752E+01,8.952028184E+01,11700000000.0,"-4.349163076E+01
","-1.402987645E+02
"
3,11500000000.0,-4.563367877E+01,7.742044401E+01,11520000000.0,-4.367876506E+01,-1.558761461E+02,11540000000.0,-4.272526886E+01,-3.677656008E+01,11560000000.0,-4.200030839E+01,8.654645152E+01,11580000000.0,-4.213991721E+01,-1.517660214E+02,11600000000.0,-4.185830802E+01,-3.244395043E+01,11620000000.0,-4.272794560E+01,8.957302767E+01,11640000000.0,-4.356158881E+01,-1.519628964E+02,11660000000.0,-4.506496281E+01,-2.450616926E+01,11680000000.0,-4.365934153E+01,9.829467500E+01,11700000000.0,"-4.258504115E+01
","-1.430849189E+02
"
4,11500000000.0,-4.799851502E+01,6.906656627E+01,11520000000.0,-4.717949141E+01,-1.697942981E+02,11540000000.0,-4.668909936E+01,-4.957033259E+01,11560000000.0,-4.479639236E+01,7.376904340E+01,11580000000.0,-4.501840492E+01,-1.586999312E+02,11600000000.0,-4.535461759E+01,-4.159726713E+01,11620000000.0,-4.578468509E+01,8.241397866E+01,11640000000.0,-4.732116963E+01,-1.609187469E+02,11660000000.0,-4.692090584E+01,-3.413822567E+01,11680000000.0,-4.807004134E+01,8.958693470E+01,11700000000.0,"-4.725227022E+01
","-1.372391843E+02
"
5,11500000000.0,-4.951145193E+01,6.656816452E+01,11520000000.0,-4.697470102E+01,-1.711640655E+02,11540000000.0,-4.687290771E+01,-5.337026502E+01,11560000000.0,-4.622029596E+01,6.764767659E+01,11580000000.0,-4.636693224E+01,-1.653598547E+02,11600000000.0,-4.559970265E+01,-5.261628830E+01,11620000000.0,-4.749258843E+01,6.347323192E+01,11640000000.0,-4.748042288E+01,-1.739734558E+02,11660000000.0,-4.750005586E+01,-4.489306644E+01,11680000000.0,-4.656787656E+01,8.442171430E+01,11700000000.0,"-4.648358089E+01
","-1.516473109E+02
"
6,11500000000.0,-4.901872172E+01,7.794564153E+01,11520000000.0,-4.607872293E+01,-1.634268974E+02,11540000000.0,-4.505163427E+01,-4.036776420E+01,11560000000.0,-4.495265902E+01,9.154849624E+01,11580000000.0,-4.490860408E+01,-1.529330223E+02,11600000000.0,-4.478684519E+01,-2.919413110E+01,11620000000.0,-4.454076652E+01,9.084536272E+01,11640000000.0,-4.529947822E+01,-1.492910486E+02,11660000000.0,-4.718869355E+01,-2.449893575E+01,11680000000.0,-4.585334353E+01,9.519464562E+01,11700000000.0,"-4.624460259E+01
","-1.378320569E+02
"
7,11500000000.0,-5.103930593E+01,6.583796254E+01,11520000000.0,-4.842361712E+01,-1.725003475E+02,11540000000.0,-4.773536183E+01,-5.439825970E+01,11560000000.0,-4.644627657E+01,7.499188296E+01,11580000000.0,-4.779873841E+01,-1.606658886E+02,11600000000.0,-4.727820867E+01,-4.005566813E+01,11620000000.0,-5.006636921E+01,7.590780918E+01,11640000000.0,-4.833790879E+01,-1.653892566E+02,11660000000.0,-4.993158215E+01,-3.378015475E+01,11680000000.0,-4.962104453E+01,8.574013177E+01,11700000000.0,"-5.017535989E+01
","-1.499046661E+02
"
8,11500000000.0,-5.408350046E+01,4.980386055E+01,11520000000.0,-4.933511033E+01,-1.754349763E+02,11540000000.0,-4.908988167E+01,-5.661924524E+01,11560000000.0,-4.894793132E+01,5.697319543E+01,11580000000.0,-4.808180200E+01,-1.752921956E+02,11600000000.0,-4.776667491E+01,-4.850547884E+01,11620000000.0,-4.862038695E+01,5.363875242E+01,11640000000.0,-4.858007268E+01,-1.706395241E+02,11660000000.0,-5.006773695E+01,-5.910319793E+01,11680000000.0,-5.316386969E+01,7.321443342E+01,11700000000.0,"-5.043961639E+01
","-1.466465903E+02
"
9,11500000000.0,-5.242727340E+01,6.865128949E+01,11520000000.0,-4.775414864E+01,-1.631109234E+02,11540000000.0,-4.591548808E+01,-3.878623920E+01,11560000000.0,-4.766256382E+01,7.837904787E+01,11580000000.0,-4.830588652E+01,-1.615397840E+02,11600000000.0,-4.723824987E+01,-3.960208640E+01,11620000000.0,-4.787286963E+01,8.136589966E+01,11640000000.0,-4.986460586E+01,-1.660411384E+02,11660000000.0,-5.008363583E+01,-3.876671907E+01,11680000000.0,-4.998765387E+01,8.520370213E+01,11700000000.0,"-4.977495814E+01
","-1.434002951E+02
"
