,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3,Frequency_4,Amplitude_4,Phase_4,Frequency_5,Amplitude_5,Phase_5,Frequency_6,Amplitude_6,Phase_6,Frequency_7,Amplitude_7,Phase_7,Frequency_8,Amplitude_8,Phase_8,Frequency_9,Amplitude_9,Phase_9,Frequency_10,Amplitude_10,Phase_10,Frequency_11,Amplitude_11,Phase_11
0,11500000000.0,-5.060483080E+01,-5.060483080E+01,11520000000.0,-5.165089198E+01,-5.165089198E+01,11540000000.0,-5.197386577E+01,-5.197386577E+01,11560000000.0,-5.218321894E+01,-5.218321894E+01,11580000000.0,-5.067315120E+01,-5.067315120E+01,11600000000.0,-5.149677282E+01,-5.149677282E+01,11620000000.0,-5.042459878E+01,-5.042459878E+01,11640000000.0,-4.991520779E+01,-4.991520779E+01,11660000000.0,-5.066869968E+01,-5.066869968E+01,11680000000.0,-5.612481949E+01,-5.612481949E+01,11700000000.0,"-5.625190044E+01
","-5.625190044E+01
"
1,11500000000.0,-5.131628397E+01,-5.131628397E+01,11520000000.0,-5.069882278E+01,-5.069882278E+01,11540000000.0,-5.324687258E+01,-5.324687258E+01,11560000000.0,-5.298484014E+01,-5.298484014E+01,11580000000.0,-5.114129923E+01,-5.114129923E+01,11600000000.0,-5.044412136E+01,-5.044412136E+01,11620000000.0,-5.138043767E+01,-5.138043767E+01,11640000000.0,-5.157466821E+01,-5.157466821E+01,11660000000.0,-5.126981211E+01,-5.126981211E+01,11680000000.0,-5.607527925E+01,-5.607527925E+01,11700000000.0,"-5.872534608E+01
","-5.872534608E+01
"
2,11500000000.0,-5.081395139E+01,-5.081395139E+01,11520000000.0,-4.858083848E+01,-4.858083848E+01,11540000000.0,-5.207348902E+01,-5.207348902E+01,11560000000.0,-5.128535573E+01,-5.128535573E+01,11580000000.0,-5.119835772E+01,-5.119835772E+01,11600000000.0,-5.208149755E+01,-5.208149755E+01,11620000000.0,-5.086681223E+01,-5.086681223E+01,11640000000.0,-5.063603817E+01,-5.063603817E+01,11660000000.0,-5.066379884E+01,-5.066379884E+01,11680000000.0,-5.574488572E+01,-5.574488572E+01,11700000000.0,"-5.679045740E+01
","-5.679045740E+01
"
3,11500000000.0,-5.108570994E+01,-5.108570994E+01,11520000000.0,-4.978436347E+01,-4.978436347E+01,11540000000.0,-5.074411275E+01,-5.074411275E+01,11560000000.0,-5.175658190E+01,-5.175658190E+01,11580000000.0,-5.005211179E+01,-5.005211179E+01,11600000000.0,-5.108343378E+01,-5.108343378E+01,11620000000.0,-5.135982643E+01,-5.135982643E+01,11640000000.0,-5.024788314E+01,-5.024788314E+01,11660000000.0,-5.023095849E+01,-5.023095849E+01,11680000000.0,-5.322211326E+01,-5.322211326E+01,11700000000.0,"-5.851308212E+01
","-5.851308212E+01
"
4,11500000000.0,-4.995968562E+01,-4.995968562E+01,11520000000.0,-5.177001785E+01,-5.177001785E+01,11540000000.0,-5.291956481E+01,-5.291956481E+01,11560000000.0,-5.095697963E+01,-5.095697963E+01,11580000000.0,-4.888877901E+01,-4.888877901E+01,11600000000.0,-5.304052050E+01,-5.304052050E+01,11620000000.0,-5.133400290E+01,-5.133400290E+01,11640000000.0,-5.117101828E+01,-5.117101828E+01,11660000000.0,-5.509392036E+01,-5.509392036E+01,11680000000.0,-5.538976436E+01,-5.538976436E+01,11700000000.0,"-5.640274241E+01
","-5.640274241E+01
"
5,11500000000.0,-5.090128136E+01,-5.090128136E+01,11520000000.0,-5.221038529E+01,-5.221038529E+01,11540000000.0,-5.185324316E+01,-5.185324316E+01,11560000000.0,-4.968171411E+01,-4.968171411E+01,11580000000.0,-5.179544811E+01,-5.179544811E+01,11600000000.0,-5.111380613E+01,-5.111380613E+01,11620000000.0,-5.071909043E+01,-5.071909043E+01,11640000000.0,-5.200990240E+01,-5.200990240E+01,11660000000.0,-5.183788085E+01,-5.183788085E+01,11680000000.0,-5.508186636E+01,-5.508186636E+01,11700000000.0,"-5.509954530E+01
","-5.509954530E+01
"
6,11500000000.0,-5.256637871E+01,-5.256637871E+01,11520000000.0,-5.038739312E+01,-5.038739312E+01,11540000000.0,-5.106456139E+01,-5.106456139E+01,11560000000.0,-5.076931907E+01,-5.076931907E+01,11580000000.0,-5.059864966E+01,-5.059864966E+01,11600000000.0,-5.167911830E+01,-5.167911830E+01,11620000000.0,-5.079013134E+01,-5.079013134E+01,11640000000.0,-5.089862095E+01,-5.089862095E+01,11660000000.0,-5.382286120E+01,-5.382286120E+01,11680000000.0,-6.080049473E+01,-6.080049473E+01,11700000000.0,"-5.656426098E+01
","-5.656426098E+01
"
7,11500000000.0,-5.017526481E+01,-5.017526481E+01,11520000000.0,-5.074912527E+01,-5.074912527E+01,11540000000.0,-5.197117979E+01,-5.197117979E+01,11560000000.0,-5.120181077E+01,-5.120181077E+01,11580000000.0,-4.961802102E+01,-4.961802102E+01,11600000000.0,-5.101692879E+01,-5.101692879E+01,11620000000.0,-5.088958421E+01,-5.088958421E+01,11640000000.0,-5.085843522E+01,-5.085843522E+01,11660000000.0,-5.149419387E+01,-5.149419387E+01,11680000000.0,-5.344069643E+01,-5.344069643E+01,11700000000.0,"-5.546103274E+01
","-5.546103274E+01
"
8,11500000000.0,-5.052234367E+01,-5.052234367E+01,11520000000.0,-5.114454378E+01,-5.114454378E+01,11540000000.0,-5.202477940E+01,-5.202477940E+01,11560000000.0,-5.222656628E+01,-5.222656628E+01,11580000000.0,-5.190012527E+01,-5.190012527E+01,11600000000.0,-5.022910414E+01,-5.022910414E+01,11620000000.0,-5.041770481E+01,-5.041770481E+01,11640000000.0,-4.861283545E+01,-4.861283545E+01,11660000000.0,-5.160200222E+01,-5.160200222E+01,11680000000.0,-5.280085517E+01,-5.280085517E+01,11700000000.0,"-5.557090488E+01
","-5.557090488E+01
"
9,11500000000.0,-5.031452260E+01,-5.031452260E+01,11520000000.0,-5.122835984E+01,-5.122835984E+01,11540000000.0,-5.194071828E+01,-5.194071828E+01,11560000000.0,-5.050352433E+01,-5.050352433E+01,11580000000.0,-5.084637482E+01,-5.084637482E+01,11600000000.0,-5.036484548E+01,-5.036484548E+01,11620000000.0,-5.060504802E+01,-5.060504802E+01,11640000000.0,-5.112868818E+01,-5.112868818E+01,11660000000.0,-5.250749266E+01,-5.250749266E+01,11680000000.0,-5.654954909E+01,-5.654954909E+01,11700000000.0,"-5.467649729E+01
","-5.467649729E+01
"
