,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3,Frequency_4,Amplitude_4,Phase_4,Frequency_5,Amplitude_5,Phase_5,Frequency_6,Amplitude_6,Phase_6,Frequency_7,Amplitude_7,Phase_7,Frequency_8,Amplitude_8,Phase_8,Frequency_9,Amplitude_9,Phase_9,Frequency_10,Amplitude_10,Phase_10,Frequency_11,Amplitude_11,Phase_11
0,11500000000.0,-6.225351208E+01,3.938089566E+01,11520000000.0,-6.069978932E+01,1.229365809E+02,11540000000.0,-6.394508572E+01,1.754079734E+02,11560000000.0,-8.295447488E+01,8.097192506E+01,11580000000.0,-6.663385692E+01,5.199432607E+01,11600000000.0,-6.678385045E+01,1.374509488E+02,11620000000.0,-6.727193174E+01,-8.033341273E+01,11640000000.0,-6.549983658E+01,1.716128994E+01,11660000000.0,-5.983918444E+01,1.120540947E+02,11680000000.0,-6.087074498E+01,-1.111355384E+02,11700000000.0,"-6.128834636E+01
","3.568229752E+01
"
1,11500000000.0,-6.254630090E+01,1.070208105E+02,11520000000.0,-7.309763618E+01,-1.708090671E+02,11540000000.0,-6.326088959E+01,-4.810033637E+01,11560000000.0,-6.118933241E+01,-1.066192474E+02,11580000000.0,-6.661108458E+01,-1.749807853E+01,11600000000.0,-7.025367348E+01,1.602901818E+02,11620000000.0,-6.362845074E+01,-8.724346188E+01,11640000000.0,-6.675011912E+01,8.592270777E+01,11660000000.0,-5.980339362E+01,-1.564998333E+02,11680000000.0,-6.331479975E+01,-3.477116438E+01,11700000000.0,"-6.414579802E+01
","6.288257001E+01
"
2,11500000000.0,-5.793074854E+01,-1.532763992E+02,11520000000.0,-6.200596267E+01,2.390262165E+01,11540000000.0,-6.093616192E+01,1.781306997E+02,11560000000.0,-7.049175382E+01,-6.356500576E+01,11580000000.0,-6.464275796E+01,1.321212752E+02,11600000000.0,-8.147104720E+01,1.195611259E+02,11620000000.0,-9.655790524E+01,-7.634505078E+01,11640000000.0,-7.206792914E+01,1.605979066E+02,11660000000.0,-6.623725094E+01,4.255520457E+01,11680000000.0,-7.060579013E+01,1.577588232E+02,11700000000.0,"-6.263996232E+01
","-3.250048632E+00
"
3,11500000000.0,-6.523063979E+01,1.033711028E+02,11520000000.0,-6.028024989E+01,1.274012388E+02,11540000000.0,-5.880095276E+01,-9.679849522E+01,11560000000.0,-5.787431397E+01,2.026018780E+01,11580000000.0,-6.530940355E+01,1.395204585E+02,11600000000.0,-5.707170383E+01,-1.230945005E+02,11620000000.0,-6.201189407E+01,1.209767932E+01,11640000000.0,-7.759850629E+01,1.029315170E+02,11660000000.0,-6.312573316E+01,7.105157609E+01,11680000000.0,-6.351549848E+01,4.030877887E+01,11700000000.0,"-6.509562747E+01
","-1.421443993E+02
"
4,11500000000.0,-8.029847846E+01,1.488334218E+02,11520000000.0,-6.982740664E+01,-1.236490851E+02,11540000000.0,-7.399435271E+01,1.678953942E+01,11560000000.0,-6.152384618E+01,1.420269438E+02,11580000000.0,-6.367828368E+01,-7.506881234E+01,11600000000.0,-7.974609462E+01,6.874629417E+00,11620000000.0,-6.740314830E+01,1.780924998E+02,11640000000.0,-6.138387775E+01,-9.645131827E+01,11660000000.0,-6.043840157E+01,8.770449581E+01,11680000000.0,-5.840434760E+01,-1.628872898E+02,11700000000.0,"-7.196342849E+01
","-6.876007170E+01
"
5,11500000000.0,-6.711311228E+01,1.282242525E+02,11520000000.0,-6.875243113E+01,-1.619027021E+02,11540000000.0,-7.206448322E+01,-9.863450736E+01,11560000000.0,-6.119422615E+01,-6.541823853E+01,11580000000.0,-6.019951539E+01,-1.292436410E+00,11600000000.0,-5.912706355E+01,1.497237703E+02,11620000000.0,-6.679192184E+01,-4.639820589E+01,11640000000.0,-6.716429624E+01,7.288358863E+01,11660000000.0,-6.247268372E+01,1.448868786E+02,11680000000.0,-6.237683854E+01,-1.055181506E+02,11700000000.0,"-6.329247796E+01
","8.096848514E+01
"
6,11500000000.0,-6.990484989E+01,-1.343143672E+01,11520000000.0,-6.204398344E+01,-2.428703090E+01,11540000000.0,-6.396558357E+01,-1.606024316E+02,11560000000.0,-6.080636370E+01,1.740367808E+01,11580000000.0,-6.056938373E+01,1.705638943E+02,11600000000.0,-6.389826194E+01,-6.250423429E+01,11620000000.0,-5.586474886E+01,1.048711729E+02,11640000000.0,-5.829310514E+01,-8.902005067E+01,11660000000.0,-6.212496378E+01,8.596255846E-01,11680000000.0,-6.938419751E+01,8.094917155E+01,11700000000.0,"-7.985529790E+01
","1.641702709E+02
"
7,11500000000.0,-6.207759280E+01,4.314048180E+00,11520000000.0,-6.883539704E+01,8.493799806E+01,11540000000.0,-6.151073059E+01,-6.034129261E+01,11560000000.0,-6.469997259E+01,9.489022085E+01,11580000000.0,-6.444262329E+01,-5.358597823E+01,11600000000.0,-6.989472830E+01,1.031098815E+02,11620000000.0,-5.871827485E+01,-1.065179409E+02,11640000000.0,-6.210347796E+01,8.437816350E+00,11660000000.0,-6.112167057E+01,1.679640869E+01,11680000000.0,-6.759835112E+01,-5.580903993E+01,11700000000.0,"-5.941955594E+01
","3.893570671E+01
"
8,11500000000.0,-6.957808356E+01,-1.603447889E+02,11520000000.0,-6.294075494E+01,-4.378616077E+01,11540000000.0,-7.479272038E+01,9.615586603E+01,11560000000.0,-6.433036731E+01,1.548222027E+02,11580000000.0,-5.855594401E+01,-5.190687126E+01,11600000000.0,-6.049646573E+01,-5.532580740E+01,11620000000.0,-5.742711696E+01,8.885976990E+01,11640000000.0,-6.019683910E+01,-1.409950236E+02,11660000000.0,-5.670776977E+01,-3.169528977E+01,11680000000.0,-6.026992701E+01,5.899303159E+01,11700000000.0,"-6.869348396E+01
","-1.547523664E+02
"
9,11500000000.0,-5.908956419E+01,-1.287635447E+02,11520000000.0,-5.627669965E+01,9.342380885E+00,11540000000.0,-5.511461833E+01,1.516093128E+02,11560000000.0,-6.060393459E+01,-9.046741689E+01,11580000000.0,-5.849678203E+01,-8.319546172E+00,11600000000.0,-5.966287416E+01,1.042798680E+02,11620000000.0,-5.692566170E+01,-1.579504329E+02,11640000000.0,-5.305458161E+01,-5.277573582E+01,11660000000.0,-5.881859369E+01,9.013022080E+01,11680000000.0,-5.610392088E+01,-1.436790283E+02,11700000000.0,"-5.911600040E+01
","-2.041147895E+01
"
