,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3,Frequency_4,Amplitude_4,Phase_4,Frequency_5,Amplitude_5,Phase_5,Frequency_6,Amplitude_6,Phase_6,Frequency_7,Amplitude_7,Phase_7,Frequency_8,Amplitude_8,Phase_8,Frequency_9,Amplitude_9,Phase_9,Frequency_10,Amplitude_10,Phase_10,Frequency_11,Amplitude_11,Phase_11
0,11500000000.0,-7.082790165E+01,2.436937510E+01,11520000000.0,-6.474049850E+01,1.327429744E+02,11540000000.0,-6.449456074E+01,-1.451981492E+02,11560000000.0,-6.362337688E+01,-4.763160818E+01,11580000000.0,-6.193333712E+01,4.487806569E+01,11600000000.0,-6.084831709E+01,1.181993325E+02,11620000000.0,-6.045307817E+01,-9.638774756E+01,11640000000.0,-6.861627586E+01,-1.764799136E-01,11660000000.0,-5.720830251E+01,1.392406905E+02,11680000000.0,-5.769824966E+01,-1.007863968E+02,11700000000.0,"-5.601197151E+01
","2.383936686E+01
"
1,11500000000.0,-6.204956733E+01,-1.013094695E+01,11520000000.0,-6.715981581E+01,9.271588868E+01,11540000000.0,-7.096296038E+01,-9.314213824E+01,11560000000.0,-6.846177151E+01,-3.923332929E+01,11580000000.0,-6.924585962E+01,6.881174752E+00,11600000000.0,-6.579518344E+01,1.798628144E+02,11620000000.0,-8.218148577E+01,-1.103706985E+02,11640000000.0,-7.624296104E+01,6.822901429E+01,11660000000.0,-6.701737896E+01,1.594217354E+02,11680000000.0,-6.600488186E+01,-7.427016272E+01,11700000000.0,"-7.309104634E+01
","1.004037949E+02
"
2,11500000000.0,-6.231270951E+01,-1.661505965E+02,11520000000.0,-6.061019374E+01,1.088647455E+01,11540000000.0,-5.760720188E+01,-1.640143372E+02,11560000000.0,-5.633867412E+01,-3.790705614E+01,11580000000.0,-5.731157610E+01,1.188734736E+02,11600000000.0,-6.446638282E+01,1.190812898E+02,11620000000.0,-7.330070327E+01,9.670526332E+01,11640000000.0,-6.884041382E+01,-1.516604913E+02,11660000000.0,-7.751845608E+01,-6.140191573E+00,11680000000.0,-5.898177044E+01,1.086112542E+01,11700000000.0,"-6.699503722E+01
","-1.108263197E+02
"
3,11500000000.0,-6.160209272E+01,-1.322118422E+01,11520000000.0,-6.569207785E+01,8.548071219E+01,11540000000.0,-5.510306221E+01,-1.081629328E+02,11560000000.0,-6.234545870E+01,-1.164520970E+01,11580000000.0,-6.649794174E+01,1.146107210E+02,11600000000.0,-5.589187599E+01,-1.435885649E+02,11620000000.0,-5.942779673E+01,-4.668658454E+01,11640000000.0,-6.259215370E+01,1.309284537E+02,11660000000.0,-7.858892568E+01,4.264775001E+01,11680000000.0,-6.472430081E+01,1.447034147E+02,11700000000.0,"-6.531440924E+01
","-6.102914856E+01
"
4,11500000000.0,-6.585518215E+01,-7.620203870E+01,11520000000.0,-6.663615366E+01,-8.853408011E+01,11540000000.0,-6.564125858E+01,6.331897807E+01,11560000000.0,-6.406510384E+01,1.203041941E+02,11580000000.0,-6.296777417E+01,-1.472483196E+02,11600000000.0,-6.109070400E+01,3.425736732E+01,11620000000.0,-6.148500946E+01,1.448278368E+02,11640000000.0,-6.093765151E+01,-7.832174088E+01,11660000000.0,-6.858534176E+01,2.365406812E+01,11680000000.0,-5.767514063E+01,1.363719512E+02,11700000000.0,"-7.151339665E+01
","-2.290109627E+01
"
5,11500000000.0,-6.832707885E+01,5.133284639E+01,11520000000.0,-7.128421203E+01,-9.212631057E+01,11540000000.0,-7.993995253E+01,7.104999073E+01,11560000000.0,-6.047389710E+01,-1.749124227E+01,11580000000.0,-6.434560935E+01,7.253870111E+01,11600000000.0,-6.946743595E+01,1.249366391E+02,11620000000.0,-7.625005123E+01,1.376140141E+01,11640000000.0,-6.903078297E+01,6.137028209E+01,11660000000.0,-5.987765498E+01,-1.795469602E+02,11680000000.0,-5.660397182E+01,-6.653504307E+01,11700000000.0,"-6.423684238E+01
","3.620149573E+01
"
6,11500000000.0,-7.082849095E+01,-7.386340070E+01,11520000000.0,-6.398807098E+01,-6.181340812E+01,11540000000.0,-6.734586701E+01,-1.228712100E+02,11560000000.0,-6.403063336E+01,4.608984195E+01,11580000000.0,-6.061618692E+01,-1.710343460E+02,11600000000.0,-6.088924114E+01,3.532992448E+01,11620000000.0,-5.666920202E+01,1.196785003E+02,11640000000.0,-5.864081394E+01,-6.117130172E+01,11660000000.0,-6.616573096E+01,7.902909790E+01,11680000000.0,-6.481636478E+01,9.361383169E+01,11700000000.0,"-8.579813131E+01
","5.038174593E+01
"
7,11500000000.0,-5.873052272E+01,-9.801295049E+00,11520000000.0,-7.127642611E+01,1.375771824E+02,11540000000.0,-6.949289268E+01,-7.389553802E+01,11560000000.0,-6.394081964E+01,-3.420137872E+00,11580000000.0,-7.112984910E+01,-9.692959807E+01,11600000000.0,-6.079997071E+01,1.720513135E+02,11620000000.0,-6.171577156E+01,-1.262916733E+02,11640000000.0,-7.681939133E+01,1.952851623E+01,11660000000.0,-6.581171355E+01,1.358504075E+02,11680000000.0,-6.298109854E+01,-6.826336862E+01,11700000000.0,"-5.830098689E+01
","3.317339037E+01
"
8,11500000000.0,-6.326445580E+01,-1.793067804E+02,11520000000.0,-6.298359407E+01,-8.918110077E+01,11540000000.0,-6.530055076E+01,6.104400298E+00,11560000000.0,-6.562470327E+01,9.217461477E+01,11580000000.0,-6.277297116E+01,-1.301974942E+02,11600000000.0,-6.067527687E+01,-6.783491263E+01,11620000000.0,-5.770929528E+01,2.983680307E+01,11640000000.0,-5.748824654E+01,1.721462601E+02,11660000000.0,-6.767153406E+01,-7.479822874E+01,11680000000.0,-5.981790001E+01,1.918993051E+01,11700000000.0,"-7.320668243E+01
","-1.762268348E+02
"
9,11500000000.0,-5.859915389E+01,-7.772083177E+01,11520000000.0,-6.114620468E+01,3.346670211E+01,11540000000.0,-6.052591375E+01,1.401685841E+02,11560000000.0,-5.593598239E+01,-1.222833453E+02,11580000000.0,-6.115131515E+01,4.601546737E+01,11600000000.0,-6.052195774E+01,1.089265450E+02,11620000000.0,-5.777131663E+01,-1.510256984E+02,11640000000.0,-5.580331832E+01,-2.976058916E+01,11660000000.0,-5.618378639E+01,1.008001261E+02,11680000000.0,-5.918821094E+01,-1.666300771E+02,11700000000.0,"-5.660511874E+01
","-3.443674177E+01
"
10,11500000000.0,-5.786551551E+01,-2.296987075E+01,11520000000.0,-6.082299473E+01,1.396622040E+02,11540000000.0,-5.915753039E+01,-1.571750236E+02,11560000000.0,-5.491705063E+01,-1.012662063E+01,11580000000.0,-5.058790117E+01,9.090304365E+01,11600000000.0,-5.429364093E+01,-1.293757419E+02,11620000000.0,-5.206256026E+01,-2.352688878E+01,11640000000.0,-5.265681743E+01,9.897055700E+01,11660000000.0,-5.147786042E+01,-1.618465924E+02,11680000000.0,-5.460320468E+01,-2.212284836E+01,11700000000.0,"-5.710757912E+01
","9.050132237E+01
"
