,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3,Frequency_4,Amplitude_4,Phase_4,Frequency_5,Amplitude_5,Phase_5,Frequency_6,Amplitude_6,Phase_6,Frequency_7,Amplitude_7,Phase_7,Frequency_8,Amplitude_8,Phase_8,Frequency_9,Amplitude_9,Phase_9,Frequency_10,Amplitude_10,Phase_10,Frequency_11,Amplitude_11,Phase_11
0,11500000000.0,-5.006624979E+01,3.064901729E+01,11520000000.0,-5.051520544E+01,1.697095369E+02,11540000000.0,-4.977670441E+01,-8.324529480E+01,11560000000.0,-4.999086165E+01,3.521272813E+01,11580000000.0,-4.889370572E+01,1.763157339E+02,11600000000.0,-4.909230756E+01,-7.810683698E+01,11620000000.0,-5.255041205E+01,4.579734431E+01,11640000000.0,-5.276797858E+01,1.562382388E+02,11660000000.0,-5.275736602E+01,-6.912027088E+01,11680000000.0,-5.202694297E+01,5.384809776E+01,11700000000.0,"-5.023116971E+01
","1.683922729E+02
"
1,11500000000.0,-4.720728632E+01,4.538423928E+01,11520000000.0,-4.653498548E+01,1.705954115E+02,11540000000.0,-4.536252601E+01,-6.368072486E+01,11560000000.0,-4.540726831E+01,5.400121120E+01,11580000000.0,-4.554347833E+01,1.780598589E+02,11600000000.0,-4.714422791E+01,-5.861926699E+01,11620000000.0,-4.669514250E+01,5.485859096E+01,11640000000.0,-4.659626939E+01,-1.757727462E+02,11660000000.0,-4.785852211E+01,-6.406703636E+01,11680000000.0,-4.759390135E+01,6.191816579E+01,11700000000.0,"-4.705700118E+01
","-1.723271900E+02
"
2,11500000000.0,-4.573325859E+01,4.664390553E+01,11520000000.0,-4.472047389E+01,1.701261058E+02,11540000000.0,-4.397382164E+01,-6.505693153E+01,11560000000.0,-4.400011540E+01,5.380173663E+01,11580000000.0,-4.418104443E+01,1.700960623E+02,11600000000.0,-4.305954541E+01,-5.765062007E+01,11620000000.0,-4.456845579E+01,6.012231788E+01,11640000000.0,-4.557954599E+01,1.779077824E+02,11660000000.0,-4.654310648E+01,-5.670169821E+01,11680000000.0,-4.763735317E+01,7.209326040E+01,11700000000.0,"-4.456458876E+01
","-1.710227302E+02
"
3,11500000000.0,-4.616127914E+01,4.145971128E+01,11520000000.0,-4.491005145E+01,1.584471134E+02,11540000000.0,-4.357622637E+01,-7.677463109E+01,11560000000.0,-4.275683493E+01,4.552665207E+01,11580000000.0,-4.274811887E+01,1.668077548E+02,11600000000.0,-4.301068462E+01,-6.942074892E+01,11620000000.0,-4.438745523E+01,4.191314148E+01,11640000000.0,-4.462470009E+01,1.656078028E+02,11660000000.0,-4.593972177E+01,-6.934626630E+01,11680000000.0,-4.571070194E+01,5.930681853E+01,11700000000.0,"-4.490721651E+01
","-1.781159297E+02
"
4,11500000000.0,-4.730980907E+01,3.327976850E+01,11520000000.0,-4.521019963E+01,1.565062273E+02,11540000000.0,-4.376517433E+01,-9.210923694E+01,11560000000.0,-4.263353069E+01,2.896523886E+01,11580000000.0,-4.508492708E+01,1.539328804E+02,11600000000.0,-4.426943145E+01,-7.944003067E+01,11620000000.0,-4.502065028E+01,3.639344388E+01,11640000000.0,-4.715242948E+01,1.586204160E+02,11660000000.0,-4.778427547E+01,-7.185808167E+01,11680000000.0,-4.663177296E+01,4.791685580E+01,11700000000.0,"-4.560236304E+01
","1.748859589E+02
"
5,11500000000.0,-4.693744319E+01,3.739667022E+01,11520000000.0,-4.524435206E+01,1.559010498E+02,11540000000.0,-4.499219437E+01,-7.780830126E+01,11560000000.0,-4.431922985E+01,3.604324586E+01,11580000000.0,-4.507320183E+01,1.619441616E+02,11600000000.0,-4.451550401E+01,-7.761784817E+01,11620000000.0,-4.485243095E+01,4.016387338E+01,11640000000.0,-4.602259302E+01,1.652843440E+02,11660000000.0,-4.725394421E+01,-6.748507283E+01,11680000000.0,-4.766041645E+01,6.143163149E+01,11700000000.0,"-4.650309970E+01
","-1.701880331E+02
"
6,11500000000.0,-4.597135288E+01,4.834093116E+01,11520000000.0,-4.575656841E+01,1.677102980E+02,11540000000.0,-4.328531837E+01,-6.544194983E+01,11560000000.0,-4.347895239E+01,5.143496369E+01,11580000000.0,-4.341637373E+01,-1.776181175E+02,11600000000.0,-4.360567119E+01,-6.532090274E+01,11620000000.0,-4.416451630E+01,6.392904759E+01,11640000000.0,-4.469999420E+01,1.742885069E+02,11660000000.0,-4.683583645E+01,-4.908651579E+01,11680000000.0,-4.637040138E+01,7.153239030E+01,11700000000.0,"-4.490990464E+01
","-1.617550696E+02
"
7,11500000000.0,-4.819541203E+01,4.552019151E+01,11520000000.0,-4.543130795E+01,1.609600108E+02,11540000000.0,-4.513636280E+01,-8.772104978E+01,11560000000.0,-4.548431347E+01,4.545321965E+01,11580000000.0,-4.529239902E+01,1.712981951E+02,11600000000.0,-4.575008359E+01,-6.300775938E+01,11620000000.0,-4.777368568E+01,4.441041236E+01,11640000000.0,-4.716281081E+01,1.762984458E+02,11660000000.0,-4.780864984E+01,-6.131171818E+01,11680000000.0,-4.655400620E+01,6.069302496E+01,11700000000.0,"-4.667925662E+01
","-1.671092342E+02
"
8,11500000000.0,-4.815153623E+01,3.087633190E+01,11520000000.0,-4.672205281E+01,1.624018573E+02,11540000000.0,-4.538659927E+01,-8.785422345E+01,11560000000.0,-4.521902570E+01,3.563373579E+01,11580000000.0,-4.635952737E+01,1.624981659E+02,11600000000.0,-4.679265508E+01,-8.444608930E+01,11620000000.0,-4.565225658E+01,4.449442789E+01,11640000000.0,-4.977723184E+01,1.627853461E+02,11660000000.0,-4.879007087E+01,-7.001611755E+01,11680000000.0,-4.986795807E+01,5.252061065E+01,11700000000.0,"-4.712963163E+01
","-1.774903994E+02
"
9,11500000000.0,-4.890245951E+01,3.931308802E+01,11520000000.0,-4.698969121E+01,1.686867679E+02,11540000000.0,-4.489901497E+01,-7.669394020E+01,11560000000.0,-4.583665444E+01,4.378856171E+01,11580000000.0,-4.557654780E+01,1.651016457E+02,11600000000.0,-4.575916283E+01,-7.628906941E+01,11620000000.0,-4.721357847E+01,5.116521071E+01,11640000000.0,-4.930032170E+01,1.738853157E+02,11660000000.0,-4.906248543E+01,-6.399996780E+01,11680000000.0,-4.835221705E+01,6.515527844E+01,11700000000.0,"-4.738943957E+01
","1.680313297E+02
"
