,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3,Frequency_4,Amplitude_4,Phase_4,Frequency_5,Amplitude_5,Phase_5,Frequency_6,Amplitude_6,Phase_6,Frequency_7,Amplitude_7,Phase_7,Frequency_8,Amplitude_8,Phase_8,Frequency_9,Amplitude_9,Phase_9,Frequency_10,Amplitude_10,Phase_10,Frequency_11,Amplitude_11,Phase_11
0,11000000000.0,-4.548511444E+01,1.229654770E+02,11100000000.0,-4.431834841E+01,9.071346308E+01,11200000000.0,-4.269685393E+01,1.185969206E+02,11300000000.0,-4.679061791E+01,7.144198590E+01,11400000000.0,-4.568030072E+01,6.702150758E+01,11500000000.0,-4.270709980E+01,6.353187149E+01,11600000000.0,-4.258138842E+01,5.924355653E+01,11700000000.0,-4.397822785E+01,-7.034895739E+01,11800000000.0,-4.198960384E+01,3.903305120E+01,11900000000.0,-4.501617979E+01,-7.176265692E+01,12000000000.0,"-4.848165092E+01
","4.859544073E+01
"
1,11000000000.0,-4.087372032E+01,3.816180831E+01,11100000000.0,-4.233686444E+01,-3.281999209E+01,11200000000.0,-3.838799628E+01,-1.270652794E+02,11300000000.0,-3.950637220E+01,1.234441843E+02,11400000000.0,-4.034071558E+01,5.300930196E+01,11500000000.0,-3.728369026E+01,-2.748013699E+01,11600000000.0,-3.627206292E+01,-1.457555954E+02,11700000000.0,-3.840939176E+01,1.135483928E+02,11800000000.0,-3.834511538E+01,2.331468381E+01,11900000000.0,-3.996643494E+01,-7.026507176E+01,12000000000.0,"-4.239917393E+01
","-1.631954066E+02
"
2,11000000000.0,-4.036505700E+01,4.156727637E+01,11100000000.0,-4.042858057E+01,-2.762818849E+01,11200000000.0,-3.545252940E+01,-1.150387705E+02,11300000000.0,-3.798675923E+01,1.370713904E+02,11400000000.0,-3.835172479E+01,6.073649745E+01,11500000000.0,-3.518754567E+01,-1.980804124E+01,11600000000.0,-3.332451626E+01,-1.353230917E+02,11700000000.0,-3.603303450E+01,1.245892155E+02,11800000000.0,-3.530815221E+01,3.128444437E+01,11900000000.0,-3.631853669E+01,-7.275706642E+01,12000000000.0,"-3.791788122E+01
","-1.592850371E+02
"
3,11000000000.0,-3.844199086E+01,3.344834200E+01,11100000000.0,-3.835426378E+01,-3.677907891E+01,11200000000.0,-3.470152197E+01,-1.253250071E+02,11300000000.0,-3.741984343E+01,1.255114112E+02,11400000000.0,-3.745455575E+01,5.288369687E+01,11500000000.0,-3.411008810E+01,-2.480357949E+01,11600000000.0,-3.233619528E+01,-1.437248504E+02,11700000000.0,-3.463019428E+01,1.170330583E+02,11800000000.0,-3.409288318E+01,2.796503981E+01,11900000000.0,-3.591419110E+01,-7.329867045E+01,12000000000.0,"-3.656644269E+01
","-1.638049167E+02
"
4,11000000000.0,-3.861883715E+01,2.296708724E+01,11100000000.0,-3.920355311E+01,-4.769001444E+01,11200000000.0,-3.533662688E+01,-1.397386695E+02,11300000000.0,-3.717005672E+01,1.202339052E+02,11400000000.0,-3.803627667E+01,4.835731542E+01,11500000000.0,-3.473701881E+01,-3.162477028E+01,11600000000.0,-3.256179880E+01,-1.529012151E+02,11700000000.0,-3.494899432E+01,1.131776583E+02,11800000000.0,-3.456702750E+01,1.763209175E+01,11900000000.0,-3.588802290E+01,-8.334568093E+01,12000000000.0,"-3.762755851E+01
","-1.691197784E+02
"
5,11000000000.0,-3.762183194E+01,1.348893198E+01,11100000000.0,-3.839011493E+01,-6.133096367E+01,11200000000.0,-3.492080974E+01,-1.504328922E+02,11300000000.0,-3.732902949E+01,1.049530215E+02,11400000000.0,-3.859145342E+01,3.553557494E+01,11500000000.0,-3.552673502E+01,-3.810463407E+01,11600000000.0,-3.397457152E+01,-1.600421905E+02,11700000000.0,-3.531835956E+01,1.080202273E+02,11800000000.0,-3.558878476E+01,1.253070706E+01,11900000000.0,-3.769255225E+01,-8.844136673E+01,12000000000.0,"-3.922996552E+01
","1.775005803E+02
"
6,11000000000.0,-3.785019425E+01,3.449389852E+01,11100000000.0,-3.914583024E+01,-3.793672029E+01,11200000000.0,-3.561931092E+01,-1.238745741E+02,11300000000.0,-3.787111051E+01,1.317529733E+02,11400000000.0,-3.845415107E+01,6.099010528E+01,11500000000.0,-3.471909616E+01,-2.346412543E+01,11600000000.0,-3.291931599E+01,-1.446739939E+02,11700000000.0,-3.528953826E+01,1.221995339E+02,11800000000.0,-3.532678756E+01,2.769303242E+01,11900000000.0,-3.607399479E+01,-7.710162620E+01,12000000000.0,"-3.802053725E+01
","-1.619353665E+02
"
7,11000000000.0,-4.046160756E+01,3.560347565E+01,11100000000.0,-4.112859310E+01,-3.323309527E+01,11200000000.0,-3.677228723E+01,-1.167648901E+02,11300000000.0,-3.847222527E+01,1.394468417E+02,11400000000.0,-3.937709499E+01,6.722847953E+01,11500000000.0,-3.515717040E+01,-1.563458574E+01,11600000000.0,-3.328703156E+01,-1.366366210E+02,11700000000.0,-3.543862939E+01,1.249252308E+02,11800000000.0,-3.478529553E+01,3.062227224E+01,11900000000.0,-3.628455923E+01,-6.959133810E+01,12000000000.0,"-3.780303558E+01
","-1.590757965E+02
"
8,11000000000.0,-3.933938979E+01,2.416794901E+01,11100000000.0,-3.984139859E+01,-4.327260152E+01,11200000000.0,-3.655664157E+01,-1.334021548E+02,11300000000.0,-3.848569807E+01,1.183663849E+02,11400000000.0,-3.927737907E+01,4.669981615E+01,11500000000.0,-3.634660971E+01,-3.139338765E+01,11600000000.0,-3.433181910E+01,-1.551857692E+02,11700000000.0,-3.656905398E+01,1.176937690E+02,11800000000.0,-3.631679763E+01,2.126504060E+01,11900000000.0,-3.700808459E+01,-8.536931891E+01,12000000000.0,"-3.837058499E+01
","-1.712968707E+02
"
9,11000000000.0,-3.952857501E+01,3.522394963E+01,11100000000.0,-4.168672376E+01,-4.060588311E+01,11200000000.0,-3.784501899E+01,-1.319192153E+02,11300000000.0,-3.953725887E+01,1.261647831E+02,11400000000.0,-4.041229403E+01,5.247549857E+01,11500000000.0,-3.647704616E+01,-3.298106999E+01,11600000000.0,-3.473799642E+01,-1.506701229E+02,11700000000.0,-3.709883660E+01,1.208588026E+02,11800000000.0,-3.577289139E+01,2.386885210E+01,11900000000.0,-3.635850771E+01,-7.938899005E+01,12000000000.0,"-3.926034080E+01
","-1.690632855E+02
"
