,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3,Frequency_4,Amplitude_4,Phase_4,Frequency_5,Amplitude_5,Phase_5,Frequency_6,Amplitude_6,Phase_6,Frequency_7,Amplitude_7,Phase_7,Frequency_8,Amplitude_8,Phase_8,Frequency_9,Amplitude_9,Phase_9,Frequency_10,Amplitude_10,Phase_10,Frequency_11,Amplitude_11,Phase_11
0,11000000000.0,-4.335896814E+01,2.843319146E+01,11100000000.0,-4.403437990E+01,-4.875522949E+01,11200000000.0,-4.073811779E+01,-1.364157200E+02,11300000000.0,-4.174221645E+01,1.109245747E+02,11400000000.0,-4.311600274E+01,4.136027784E+01,11500000000.0,-3.927842195E+01,-3.211701263E+01,11600000000.0,-3.945204091E+01,-1.493114955E+02,11700000000.0,-4.020437235E+01,1.102753192E+02,11800000000.0,-4.027363530E+01,2.190543830E+01,11900000000.0,-4.235669860E+01,-6.607475144E+01,12000000000.0,"-4.442971045E+01
","-1.643077507E+02
"
1,11000000000.0,-4.050493667E+01,4.426030256E+01,11100000000.0,-4.097492050E+01,-2.453251470E+01,11200000000.0,-3.652309489E+01,-1.203365570E+02,11300000000.0,-3.834353939E+01,1.302412563E+02,11400000000.0,-3.952020679E+01,6.187913415E+01,11500000000.0,-3.609964870E+01,-2.219353006E+01,11600000000.0,-3.449660385E+01,-1.384386502E+02,11700000000.0,-3.684136011E+01,1.213895253E+02,11800000000.0,-3.725821039E+01,2.931341713E+01,11900000000.0,-3.813849600E+01,-7.256755427E+01,12000000000.0,"-3.993791747E+01
","-1.624343298E+02
"
2,11000000000.0,-3.886655116E+01,3.633351518E+01,11100000000.0,-3.939277522E+01,-2.706049456E+01,11200000000.0,-3.481954110E+01,-1.182215229E+02,11300000000.0,-3.786919512E+01,1.341301995E+02,11400000000.0,-3.816179777E+01,5.589025081E+01,11500000000.0,-3.429694308E+01,-2.435345633E+01,11600000000.0,-3.271620097E+01,-1.359725513E+02,11700000000.0,-3.531848430E+01,1.241663813E+02,11800000000.0,-3.466558378E+01,2.806053789E+01,11900000000.0,-3.575273023E+01,-6.741015126E+01,12000000000.0,"-3.722609489E+01
","-1.569042088E+02
"
3,11000000000.0,-3.843535729E+01,2.899074621E+01,11100000000.0,-3.870520938E+01,-3.969393846E+01,11200000000.0,-3.495320558E+01,-1.316506103E+02,11300000000.0,-3.702280344E+01,1.232877143E+02,11400000000.0,-3.740694286E+01,5.131948599E+01,11500000000.0,-3.417557581E+01,-2.709247240E+01,11600000000.0,-3.210164564E+01,-1.480596118E+02,11700000000.0,-3.442314980E+01,1.142737347E+02,11800000000.0,-3.417771200E+01,2.296757071E+01,11900000000.0,-3.594835049E+01,-7.854506238E+01,12000000000.0,"-3.667563084E+01
","-1.666951326E+02
"
4,11000000000.0,-3.844279641E+01,1.639639762E+01,11100000000.0,-3.907801879E+01,-6.168799809E+01,11200000000.0,-3.506646339E+01,-1.486587252E+02,11300000000.0,-3.733254445E+01,1.132789835E+02,11400000000.0,-3.860663449E+01,3.837029449E+01,11500000000.0,-3.491314612E+01,-3.595715386E+01,11600000000.0,-3.336829738E+01,-1.598871729E+02,11700000000.0,-3.528719335E+01,1.093395904E+02,11800000000.0,-3.470062786E+01,1.121641882E+01,11900000000.0,-3.633276785E+01,-8.654437249E+01,12000000000.0,"-3.834772980E+01
","-1.786203663E+02
"
5,11000000000.0,-3.791809594E+01,2.274420927E+01,11100000000.0,-3.802795994E+01,-4.809550302E+01,11200000000.0,-3.527856551E+01,-1.397224085E+02,11300000000.0,-3.810973601E+01,1.121268958E+02,11400000000.0,-3.863000642E+01,4.447922996E+01,11500000000.0,-3.534445673E+01,-3.432743439E+01,11600000000.0,-3.361889746E+01,-1.558205461E+02,11700000000.0,-3.510109342E+01,1.117808007E+02,11800000000.0,-3.530479283E+01,1.964283839E+01,11900000000.0,-3.735816942E+01,-8.638950861E+01,12000000000.0,"-3.892249597E+01
","1.797810191E+02
"
6,11000000000.0,-3.896943069E+01,4.157107989E+01,11100000000.0,-4.030358007E+01,-3.217847372E+01,11200000000.0,-3.556837167E+01,-1.179257385E+02,11300000000.0,-3.781708135E+01,1.363342322E+02,11400000000.0,-3.822135781E+01,6.802693331E+01,11500000000.0,-3.463986536E+01,-2.022391341E+01,11600000000.0,-3.255050949E+01,-1.371910770E+02,11700000000.0,-3.518110496E+01,1.277478014E+02,11800000000.0,-3.462921811E+01,3.021059480E+01,11900000000.0,-3.551902059E+01,-7.318702139E+01,12000000000.0,"-3.715206246E+01
","-1.576464709E+02
"
7,11000000000.0,-4.068262484E+01,2.333761898E+01,11100000000.0,-4.033616901E+01,-4.010978783E+01,11200000000.0,-3.680040539E+01,-1.268976277E+02,11300000000.0,-3.866663536E+01,1.303897538E+02,11400000000.0,-3.946871230E+01,5.731522301E+01,11500000000.0,-3.576870014E+01,-2.189685129E+01,11600000000.0,-3.369904894E+01,-1.433602844E+02,11700000000.0,-3.550112610E+01,1.220661775E+02,11800000000.0,-3.499919216E+01,2.692328500E+01,11900000000.0,-3.617667698E+01,-7.203205048E+01,12000000000.0,"-3.834207790E+01
","-1.669683262E+02
"
8,11000000000.0,-3.931427952E+01,2.910030934E+01,11100000000.0,-3.997195251E+01,-4.473526613E+01,11200000000.0,-3.656330027E+01,-1.384883600E+02,11300000000.0,-3.878340619E+01,1.200613830E+02,11400000000.0,-3.982221791E+01,4.655842568E+01,11500000000.0,-3.681615987E+01,-3.705997460E+01,11600000000.0,-3.427763852E+01,-1.545407719E+02,11700000000.0,-3.673618655E+01,1.163623463E+02,11800000000.0,-3.623875181E+01,1.810745530E+01,11900000000.0,-3.654905703E+01,-8.489891606E+01,12000000000.0,"-3.844926648E+01
","-1.720695686E+02
"
9,11000000000.0,-4.012712595E+01,3.469491597E+01,11100000000.0,-4.229798709E+01,-4.336589734E+01,11200000000.0,-3.832791724E+01,-1.300914330E+02,11300000000.0,-4.054450020E+01,1.248004606E+02,11400000000.0,-4.092359298E+01,5.455964695E+01,11500000000.0,-3.641325612E+01,-2.724025110E+01,11600000000.0,-3.480129105E+01,-1.497443053E+02,11700000000.0,-3.652066235E+01,1.170522017E+02,11800000000.0,-3.522529960E+01,2.854836050E+01,11900000000.0,-3.669479863E+01,-7.245502131E+01,12000000000.0,"-3.876490504E+01
","-1.667927290E+02
"
