,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3
0,11500000000.0,-3.942630078E+01,-2.787162653E+01,11600000000.0,-3.885642726E+01,-1.496776135E+02,11700000000.0,"-4.084976837E+01
","1.153210362E+02
"
1,11500000000.0,-3.587287145E+01,-1.863918304E+01,11600000000.0,-3.425364690E+01,-1.381921507E+02,11700000000.0,"-3.686457684E+01
","1.231151275E+02
"
2,11500000000.0,-3.443515500E+01,-1.898193627E+01,11600000000.0,-3.275678465E+01,-1.369276591E+02,11700000000.0,"-3.565638594E+01
","1.236888333E+02
"
3,11500000000.0,-3.410423207E+01,-2.700743846E+01,11600000000.0,-3.178092992E+01,-1.475136876E+02,11700000000.0,"-3.450783224E+01
","1.144836197E+02
"
4,11500000000.0,-3.523223453E+01,-3.757517764E+01,11600000000.0,-3.321022897E+01,-1.581369511E+02,11700000000.0,"-3.527198104E+01
","1.080962027E+02
"
5,11500000000.0,-3.536781274E+01,-3.235056210E+01,11600000000.0,-3.377854556E+01,-1.546280615E+02,11700000000.0,"-3.497268237E+01
","1.132593922E+02
"
6,11500000000.0,-3.455902584E+01,-1.854535820E+01,11600000000.0,-3.247283138E+01,-1.364398973E+02,11700000000.0,"-3.495046832E+01
","1.282212682E+02
"
7,11500000000.0,-3.561332007E+01,-2.287520862E+01,11600000000.0,-3.410690654E+01,-1.435336918E+02,11700000000.0,"-3.550212315E+01
","1.221756891E+02
"
8,11500000000.0,-3.652841548E+01,-3.667409151E+01,11600000000.0,-3.396034882E+01,-1.521174298E+02,11700000000.0,"-3.688385198E+01
","1.192733896E+02
"
9,11500000000.0,-3.687863862E+01,-2.867735334E+01,11600000000.0,-3.466571034E+01,-1.469779274E+02,11700000000.0,"-3.680885803E+01
","1.155667088E+02
"
10,11500000000.0,-3.801527179E+01,-2.704711804E+01,11600000000.0,-3.465645125E+01,-1.511166483E+02,11700000000.0,"-3.666123274E+01
","1.220263315E+02
"
11,11500000000.0,-3.554056330E+01,-2.527783216E+01,11600000000.0,-3.329670248E+01,-1.443036377E+02,11700000000.0,"-3.578256493E+01
","1.187279470E+02
"
12,11500000000.0,-3.376128574E+01,-2.450377056E+01,11600000000.0,-3.180515796E+01,-1.428512633E+02,11700000000.0,"-3.347320698E+01
","1.182520869E+02
"
13,11500000000.0,-3.498382548E+01,-2.227608985E+01,11600000000.0,-3.301032126E+01,-1.381625951E+02,11700000000.0,"-3.544653639E+01
","1.215533251E+02
"
14,11500000000.0,-3.627425946E+01,-9.681654321E+00,11600000000.0,-3.520129041E+01,-1.265688848E+02,11700000000.0,"-3.724993159E+01
","1.258505057E+02
"
15,11500000000.0,-3.819404663E+01,-1.464162650E+01,11600000000.0,-3.676050221E+01,-1.326596817E+02,11700000000.0,"-3.880788818E+01
","1.219163314E+02
"
16,11500000000.0,-3.782564505E+01,-3.557025336E+01,11600000000.0,-3.623262027E+01,-1.600182328E+02,11700000000.0,"-3.960930930E+01
","1.058274705E+02
"
17,11500000000.0,-3.594363398E+01,-2.803012544E+01,11600000000.0,-3.378440765E+01,-1.453467605E+02,11700000000.0,"-3.752816383E+01
","1.178476091E+02
"
18,11500000000.0,-3.392796565E+01,-3.155007816E+01,11600000000.0,-3.268677716E+01,-1.508768568E+02,11700000000.0,"-3.534444662E+01
","1.080734675E+02
"
19,11500000000.0,-3.286148868E+01,-3.427796084E+01,11600000000.0,-3.119982649E+01,-1.609811036E+02,11700000000.0,"-3.306968735E+01
","9.816022846E+01
"
20,11500000000.0,-3.444001349E+01,-5.060746895E+01,11600000000.0,-3.184078923E+01,-1.697658518E+02,11700000000.0,"-3.483006175E+01
","9.017368207E+01
"
21,11500000000.0,-3.501127208E+01,-5.070683330E+01,11600000000.0,-3.286630787E+01,-1.685728077E+02,11700000000.0,"-3.528176006E+01
","8.994058627E+01
"
22,11500000000.0,-3.453679722E+01,-3.824817575E+01,11600000000.0,-3.232378945E+01,-1.601182262E+02,11700000000.0,"-3.458951662E+01
","1.011922504E+02
"
23,11500000000.0,-3.487269663E+01,-4.597154935E+01,11600000000.0,-3.208224976E+01,-1.662113822E+02,11700000000.0,"-3.514710733E+01
","9.631806012E+01
"
24,11500000000.0,-3.486177528E+01,-4.390716982E+01,11600000000.0,-3.301269572E+01,-1.609589428E+02,11700000000.0,"-3.501832122E+01
","1.000382919E+02
"
25,11500000000.0,-3.432601476E+01,-3.001658197E+01,11600000000.0,-3.295136500E+01,-1.476785869E+02,11700000000.0,"-3.443155968E+01
","1.160271287E+02
"
26,11500000000.0,-3.557954715E+01,-2.947298966E+01,11600000000.0,-3.394666348E+01,-1.521520158E+02,11700000000.0,"-3.546995609E+01
","1.145319668E+02
"
27,11500000000.0,-3.538576665E+01,-3.373493816E+01,11600000000.0,-3.308884873E+01,-1.527092633E+02,11700000000.0,"-3.555644862E+01
","1.133169894E+02
"
28,11500000000.0,-3.441179040E+01,-3.470170196E+01,11600000000.0,-3.205316046E+01,-1.476852231E+02,11700000000.0,"-3.470369741E+01
","1.114229216E+02
"
29,11500000000.0,-3.536581365E+01,-2.642244346E+01,11600000000.0,-3.338383018E+01,-1.394462403E+02,11700000000.0,"-3.505143596E+01
","1.152690277E+02
"
30,11500000000.0,-3.553600041E+01,-1.174163789E+01,11600000000.0,-3.376836865E+01,-1.295719516E+02,11700000000.0,"-3.554423984E+01
","1.235596317E+02
"
31,11500000000.0,-3.745858963E+01,-1.599262768E+01,11600000000.0,-3.562906297E+01,-1.404336886E+02,11700000000.0,"-3.719488072E+01
","1.186492925E+02
"
32,11500000000.0,-3.777208660E+01,-1.891033232E-01,11600000000.0,-3.499848279E+01,-1.300048040E+02,11700000000.0,"-3.627929887E+01
","1.332053002E+02
"
33,11500000000.0,-3.495772828E+01,1.074585446E+01,11600000000.0,-3.337121603E+01,-1.183042209E+02,11700000000.0,"-3.455332127E+01
","1.440081678E+02
"
34,11500000000.0,-3.391781990E+01,-1.069181124E+01,11600000000.0,-3.216108628E+01,-1.316310385E+02,11700000000.0,"-3.337501700E+01
","1.318344205E+02
"
35,11500000000.0,-3.201050170E+01,-1.514851451E+01,11600000000.0,-3.018389406E+01,-1.314329391E+02,11700000000.0,"-3.201047765E+01
","1.235084632E+02
"
36,11500000000.0,-3.366669284E+01,-2.141887310E+01,11600000000.0,-3.095519872E+01,-1.389304610E+02,11700000000.0,"-3.322793861E+01
","1.210944175E+02
"
37,11500000000.0,-3.586090624E+01,-2.936674602E+01,11600000000.0,-3.221624404E+01,-1.427537936E+02,11700000000.0,"-3.456315176E+01
","1.203950799E+02
"
