,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3
0,11500000000.0,-3.969102693E+01,-2.987821957E+01,11600000000.0,-3.892672446E+01,-1.514240858E+02,11700000000.0,"-4.149563434E+01
","1.185141164E+02
"
1,11500000000.0,-3.580673200E+01,-2.269262125E+01,11600000000.0,-3.445885484E+01,-1.374235780E+02,11700000000.0,"-3.658742084E+01
","1.228081667E+02
"
2,11500000000.0,-3.462248059E+01,-2.263693550E+01,11600000000.0,-3.295191433E+01,-1.366281911E+02,11700000000.0,"-3.540028805E+01
","1.234266932E+02
"
3,11500000000.0,-3.423468196E+01,-2.930523319E+01,11600000000.0,-3.205133040E+01,-1.487371602E+02,11700000000.0,"-3.430085361E+01
","1.160222693E+02
"
4,11500000000.0,-3.548721055E+01,-3.769664302E+01,11600000000.0,-3.349588866E+01,-1.567906918E+02,11700000000.0,"-3.532143523E+01
","1.059291476E+02
"
5,11500000000.0,-3.518442917E+01,-3.418481862E+01,11600000000.0,-3.387152563E+01,-1.532284310E+02,11700000000.0,"-3.507772872E+01
","1.136359398E+02
"
6,11500000000.0,-3.511437655E+01,-1.899766944E+01,11600000000.0,-3.262059155E+01,-1.383795772E+02,11700000000.0,"-3.482034688E+01
","1.270933044E+02
"
7,11500000000.0,-3.580683777E+01,-2.775990511E+01,11600000000.0,-3.421241490E+01,-1.462833981E+02,11700000000.0,"-3.569423557E+01
","1.209542195E+02
"
8,11500000000.0,-3.687778617E+01,-3.517566370E+01,11600000000.0,-3.432123411E+01,-1.556944737E+02,11700000000.0,"-3.683676008E+01
","1.146797185E+02
"
9,11500000000.0,-3.658134162E+01,-2.792748136E+01,11600000000.0,-3.464671636E+01,-1.512859883E+02,11700000000.0,"-3.668858255E+01
","1.145295455E+02
"
10,11500000000.0,-3.824547040E+01,-2.873653173E+01,11600000000.0,-3.485380605E+01,-1.503161347E+02,11700000000.0,"-3.703488423E+01
","1.215228542E+02
"
11,11500000000.0,-3.607462472E+01,-2.668947739E+01,11600000000.0,-3.319368100E+01,-1.458714719E+02,11700000000.0,"-3.610661309E+01
","1.182580159E+02
"
12,11500000000.0,-3.373251527E+01,-2.524654268E+01,11600000000.0,-3.196745066E+01,-1.453251483E+02,11700000000.0,"-3.419850562E+01
","1.164407433E+02
"
13,11500000000.0,-3.490152269E+01,-2.285881174E+01,11600000000.0,-3.348933038E+01,-1.403893247E+02,11700000000.0,"-3.563792283E+01
","1.233037164E+02
"
14,11500000000.0,-3.635152805E+01,-1.183202165E+01,11600000000.0,-3.523558048E+01,-1.273777973E+02,11700000000.0,"-3.752321401E+01
","1.229701624E+02
"
15,11500000000.0,-3.822659009E+01,-1.761412854E+01,11600000000.0,-3.709672807E+01,-1.358561832E+02,11700000000.0,"-3.889563360E+01
","1.236994863E+02
"
16,11500000000.0,-3.812902877E+01,-3.848070380E+01,11600000000.0,-3.676191010E+01,-1.593908180E+02,11700000000.0,"-3.976405204E+01
","1.028940653E+02
"
17,11500000000.0,-3.596865457E+01,-2.964469012E+01,11600000000.0,-3.377404373E+01,-1.458562995E+02,11700000000.0,"-3.732770325E+01
","1.146473379E+02
"
18,11500000000.0,-3.423451509E+01,-3.430833265E+01,11600000000.0,-3.308488517E+01,-1.522961966E+02,11700000000.0,"-3.533035190E+01
","1.056707448E+02
"
19,11500000000.0,-3.322357394E+01,-3.467029517E+01,11600000000.0,-3.120035359E+01,-1.636357461E+02,11700000000.0,"-3.354276841E+01
","9.966973570E+01
"
20,11500000000.0,-3.450969717E+01,-5.130429822E+01,11600000000.0,-3.216292367E+01,-1.716288924E+02,11700000000.0,"-3.459799323E+01
","8.879114002E+01
"
21,11500000000.0,-3.517541981E+01,-5.262337879E+01,11600000000.0,-3.317138218E+01,-1.714723629E+02,11700000000.0,"-3.544820862E+01
","8.664122135E+01
"
22,11500000000.0,-3.446870236E+01,-3.772156323E+01,11600000000.0,-3.244009537E+01,-1.624317471E+02,11700000000.0,"-3.495746119E+01
","1.036290043E+02
"
23,11500000000.0,-6.203437658E+01,-4.609024445E+01,11600000000.0,-6.483355510E+01,-1.686320066E+02,11700000000.0,"-5.486737309E+01
","9.391464108E+01
"
24,11500000000.0,-3.490141485E+01,-4.430949973E+01,11600000000.0,-3.321353493E+01,-1.623659502E+02,11700000000.0,"-3.524299138E+01
","9.661558327E+01
"
25,11500000000.0,-3.442113400E+01,-2.959874758E+01,11600000000.0,-3.290820394E+01,-1.467557565E+02,11700000000.0,"-3.476025713E+01
","1.147205782E+02
"
26,11500000000.0,-3.571190758E+01,-3.251616738E+01,11600000000.0,-3.385210563E+01,-1.535242828E+02,11700000000.0,"-3.535435225E+01
","1.152296683E+02
"
27,11500000000.0,-3.567822797E+01,-3.420087569E+01,11600000000.0,-3.335247529E+01,-1.515389563E+02,11700000000.0,"-3.597304690E+01
","1.113934522E+02
"
28,11500000000.0,-3.457574516E+01,-3.356634056E+01,11600000000.0,-3.203796246E+01,-1.482767772E+02,11700000000.0,"-3.530049954E+01
","1.100531508E+02
"
29,11500000000.0,-3.569741192E+01,-2.617866915E+01,11600000000.0,-3.377649664E+01,-1.407357772E+02,11700000000.0,"-3.535095178E+01
","1.148818681E+02
"
30,11500000000.0,-3.539752332E+01,-1.022614467E+01,11600000000.0,-3.428614767E+01,-1.293449237E+02,11700000000.0,"-3.564530129E+01
","1.208103063E+02
"
31,11500000000.0,-3.792896263E+01,-1.904846329E+01,11600000000.0,-3.618729216E+01,-1.437678086E+02,11700000000.0,"-3.698211364E+01
","1.182648257E+02
"
32,11500000000.0,-3.773080316E+01,-2.906210604E+00,11600000000.0,-3.519763909E+01,-1.320661675E+02,11700000000.0,"-3.692314821E+01
","1.341967340E+02
"
33,11500000000.0,-3.525862789E+01,8.663183201E+00,11600000000.0,-3.356109025E+01,-1.193731096E+02,11700000000.0,"-3.447091448E+01
","1.442606503E+02
"
34,11500000000.0,-3.378135783E+01,-1.214977720E+01,11600000000.0,-3.244348030E+01,-1.314732472E+02,11700000000.0,"-3.365551095E+01
","1.284677290E+02
"
