,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3,Frequency_4,Amplitude_4,Phase_4,Frequency_5,Amplitude_5,Phase_5,Frequency_6,Amplitude_6,Phase_6,Frequency_7,Amplitude_7,Phase_7,Frequency_8,Amplitude_8,Phase_8,Frequency_9,Amplitude_9,Phase_9,Frequency_10,Amplitude_10,Phase_10,Frequency_11,Amplitude_11,Phase_11
0,11000000000.0,-4.324598957E+01,3.847801611E+01,11100000000.0,-4.415016822E+01,-1.599679415E+01,11200000000.0,-4.139994619E+01,-6.872071947E+01,11300000000.0,-4.547440698E+01,-2.400489762E+01,11400000000.0,-4.595680169E+01,-2.687525574E+00,11500000000.0,-4.147909009E+01,-1.723588652E+02,11600000000.0,-4.085996832E+01,1.308446513E+02,11700000000.0,-4.352016945E+01,1.029351041E+02,11800000000.0,-4.214921988E+01,1.073862393E+02,11900000000.0,-4.366644127E+01,1.149455300E+02,12000000000.0,"-4.906015707E+01
","9.738901944E+01
"
1,11000000000.0,-4.169161516E+01,3.641189626E+01,11100000000.0,-4.296208572E+01,-3.694830805E+01,11200000000.0,-3.890539426E+01,-1.288176791E+02,11300000000.0,-4.010849368E+01,1.203480571E+02,11400000000.0,-4.077543464E+01,5.634320905E+01,11500000000.0,-3.804786132E+01,-2.612818343E+01,11600000000.0,-3.613182498E+01,-1.454775441E+02,11700000000.0,-3.869593694E+01,1.146947970E+02,11800000000.0,-3.856372612E+01,2.448733748E+01,11900000000.0,-4.072365230E+01,-6.638661571E+01,12000000000.0,"-4.182778469E+01
","-1.602021018E+02
"
2,11000000000.0,-3.957730141E+01,4.345008799E+01,11100000000.0,-4.007009810E+01,-3.010599352E+01,11200000000.0,-3.542344294E+01,-1.173279916E+02,11300000000.0,-3.795565279E+01,1.347306716E+02,11400000000.0,-3.846291853E+01,6.363924160E+01,11500000000.0,-3.480906027E+01,-2.178243655E+01,11600000000.0,-3.309048857E+01,-1.339662298E+02,11700000000.0,-3.568726481E+01,1.264658092E+02,11800000000.0,-3.507055081E+01,3.080748163E+01,11900000000.0,-3.579501730E+01,-6.989976952E+01,12000000000.0,"-3.766805739E+01
","-1.572716363E+02
"
3,11000000000.0,-3.803176062E+01,3.204250053E+01,11100000000.0,-3.788315619E+01,-3.521127956E+01,11200000000.0,-3.454594972E+01,-1.236346532E+02,11300000000.0,-3.726678901E+01,1.276241901E+02,11400000000.0,-3.782891970E+01,5.567910389E+01,11500000000.0,-3.429789816E+01,-2.384340067E+01,11600000000.0,-3.182520829E+01,-1.429362881E+02,11700000000.0,-3.433844252E+01,1.184091824E+02,11800000000.0,-3.416446321E+01,2.910293193E+01,11900000000.0,-3.551792371E+01,-7.363431224E+01,12000000000.0,"-3.682697340E+01
","-1.624830604E+02
"
4,11000000000.0,-3.813166422E+01,2.312522180E+01,11100000000.0,-3.850569369E+01,-4.832773349E+01,11200000000.0,-3.509612356E+01,-1.395290186E+02,11300000000.0,-3.677928431E+01,1.234562517E+02,11400000000.0,-3.763271904E+01,4.775602689E+01,11500000000.0,-3.426899935E+01,-3.236666177E+01,11600000000.0,-3.214031876E+01,-1.511221177E+02,11700000000.0,-3.464609138E+01,1.123637807E+02,11800000000.0,-3.415737347E+01,1.852483162E+01,11900000000.0,-3.594711259E+01,-8.340789598E+01,12000000000.0,"-3.746739291E+01
","-1.692316878E+02
"
5,11000000000.0,-3.765429906E+01,1.469598116E+01,11100000000.0,-3.825833132E+01,-5.584918747E+01,11200000000.0,-3.527405125E+01,-1.473771851E+02,11300000000.0,-3.746432282E+01,1.093192247E+02,11400000000.0,-3.901277168E+01,3.929504034E+01,11500000000.0,-3.555687590E+01,-3.664913870E+01,11600000000.0,-3.357418233E+01,-1.601497691E+02,11700000000.0,-3.545007915E+01,1.103452478E+02,11800000000.0,-3.465058051E+01,1.142951034E+01,11900000000.0,-3.732329009E+01,-8.602004496E+01,12000000000.0,"-3.902572759E+01
","1.783827012E+02
"
6,11000000000.0,-3.790842209E+01,3.290276272E+01,11100000000.0,-3.875057442E+01,-4.034590210E+01,11200000000.0,-3.566832050E+01,-1.259212777E+02,11300000000.0,-3.747403083E+01,1.291729067E+02,11400000000.0,-3.791200420E+01,6.153233664E+01,11500000000.0,-3.470555357E+01,-2.398080427E+01,11600000000.0,-3.266529816E+01,-1.435605427E+02,11700000000.0,-3.487514339E+01,1.227000931E+02,11800000000.0,-3.493265650E+01,2.703335692E+01,11900000000.0,-3.587344962E+01,-7.711975555E+01,12000000000.0,"-3.731523735E+01
","-1.627564356E+02
"
7,11000000000.0,-3.979210427E+01,4.011383282E+01,11100000000.0,-4.087091044E+01,-2.891914808E+01,11200000000.0,-3.603384163E+01,-1.158113235E+02,11300000000.0,-3.840971586E+01,1.391923888E+02,11400000000.0,-3.905905500E+01,6.884251177E+01,11500000000.0,-3.487340036E+01,-1.669675582E+01,11600000000.0,-3.331602387E+01,-1.368642053E+02,11700000000.0,-3.504550868E+01,1.253109393E+02,11800000000.0,-3.489829255E+01,3.288176820E+01,11900000000.0,-3.560570735E+01,-6.899422089E+01,12000000000.0,"-3.812000481E+01
","-1.580332919E+02
"
8,11000000000.0,-3.958025745E+01,2.497985292E+01,11100000000.0,-3.957331651E+01,-4.373654925E+01,11200000000.0,-3.659587722E+01,-1.337549803E+02,11300000000.0,-3.885018017E+01,1.228416183E+02,11400000000.0,-3.965334475E+01,4.982117519E+01,11500000000.0,-3.637755615E+01,-2.774048660E+01,11600000000.0,-3.417309971E+01,-1.525015727E+02,11700000000.0,-3.597616641E+01,1.171286792E+02,11800000000.0,-3.599559931E+01,2.208564317E+01,11900000000.0,-3.695495889E+01,-8.187505275E+01,12000000000.0,"-3.789108533E+01
","-1.697955817E+02
"
9,11000000000.0,-3.888060688E+01,2.973143522E+01,11100000000.0,-4.064526495E+01,-4.526295554E+01,11200000000.0,-3.687435973E+01,-1.322264623E+02,11300000000.0,-3.959510094E+01,1.267521173E+02,11400000000.0,-4.000608692E+01,5.193852628E+01,11500000000.0,-3.662524629E+01,-3.216620436E+01,11600000000.0,-3.400091035E+01,-1.476942970E+02,11700000000.0,-3.672740016E+01,1.126207444E+02,11800000000.0,-3.507884868E+01,2.393934235E+01,11900000000.0,-3.638204787E+01,-7.735827741E+01,12000000000.0,"-3.845610555E+01
","-1.667413813E+02
"
